calle,desde_cruce,hasta_cruce,longitud_m,u,v
Achupallas,Mataje,Sozoranga,110.85,275795387,4209613741
Achupallas,Playas,Mataje,73.55,275795383,275795387
Achupallas,Playas,Sigchos,134.91,275795383,275795385
Ajavi,Atlantico,Indico,35.92,275803277,275803281
Ajavi,Huigra,Oe5V,48.15,275803252,275803639
Ajavi,Huigra,Oe5X,58.93,275803252,275803975
Ajavi,Los Encuentros,Atlantico,3.47,275803256,275803277
Ajavi,Los Encuentros,Pacifico,25.74,275803256,275803274
Ajavi,Oe5T,SIN_CRUCE_NOMBRADO,38.47,275806559,4270582305
Ajavi,Oe5U,Oe5V,58.06,275803253,275803639
Ajavi,Oe5U,SIN_CRUCE_NOMBRADO,2.6,275803253,4270582305
Ajavi,Oe6,Oe5X,42.26,275803251,275803975
Ajavi,Oe6,Oe6A,56.45,275803251,275803980
Ajavi,Paquisha,Pacifico,37.73,275803255,275803274
Ajavi,Sozoranga,Indico,33.16,275803249,275803281
Ajavi,Sozoranga,Serapio Japerabi,86.61,275803249,275803257
Ajavi,Yantzaza,Oe5T,53.45,275803254,275806559
Ajavi,Yantzaza,Paquisha,101.27,275803254,275803255
Atlantico,Ajavi,SIN_CRUCE_NOMBRADO,94.79,275803277,275803278
Atlantico,Chicaña,S17B,103.69,275803279,275803287
Atlantico,SIN_CRUCE_NOMBRADO,Chicaña,103.07,275803278,275803279
Atlantico,Toacazo,S17B,89.31,275803280,275803287
Bocana,El Cisne,Utuana,61.82,275795362,275795365
Bocana,Huigra,Posorja,76.55,275795355,11143163145
Bocana,Huigra,Utuana,61.89,275795355,275795365
Bocana,Mulalillo,El Cisne,61.85,275795345,275795362
Carapungo,Huigra,Oe5U,102.94,275803259,275803263
Carapungo,Huigra,Oe6,101.66,275803259,275803264
Carapungo,Oe5U,Paquisha,199.64,275803263,275803265
Carapungo,Oe6,Oe6A,46.46,275803264,275804597
Chanchagua,Pilaló,Toacazo,284.85,275795332,275795351
Chantilin,Huigra,Sigchos,73.44,275795367,275795375
Chantilin,Playas,Sigchos,138.16,275795369,275795375
Chantilin,Playas,Sozoranga,39.18,275795369,4209613743
Chantilin,Sozoranga,Sozoranga,8.8,275795371,4209613743
Chicaña,Atlantico,Indico,33.72,275803279,275803283
Chicaña,Huigra,Oe6,102.25,275803233,275803267
Chicaña,Huigra,Yantzaza,199.12,275803233,275803234
Chicaña,Pacifico,Atlantico,32.46,275803276,275803279
Chicaña,Paquisha,Pacifico,37.93,275803235,275803276
Chicaña,Sozoranga,Indico,36.17,275803236,275803283
Chicaña,Yantzaza,Paquisha,100.07,275803234,275803235
Chumunde,El Cisne,Huigra / Utuana,64.27,275795357,275795360
Chumunde,Mulalillo,El Cisne,64.91,275795347,275795357
El Cisne,Bocana,Chumunde,209.92,275795362,275795357
El Pangui,S14C,S15B,80.8,275938613,275949697
Huigra,Ajavi,Carapungo,204.23,275803252,275803259
Huigra,Bocana,SIN_CRUCE_NOMBRADO,139.65,275795355,286815864
Huigra,Chantilin,Jima,76.76,275795367,275795377
Huigra,Chicaña,Ajavi,201.11,275803233,275803252
Huigra,Chicaña,SIN_CRUCE_NOMBRADO,197.93,275803233,275803270
Huigra,Chumunde / Utuana,SIN_CRUCE_NOMBRADO,72.39,275795360,4209613749
Huigra,Pilaló,Bocana,66.56,275795334,275795355
Huigra,Pilaló,Chantilin,74.69,275795334,275795367
Huigra,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,45.33,286815864,4209613749
Huigra,Toacazo,Jima,142.83,275795353,275795377
Huigra,Toacazo,SIN_CRUCE_NOMBRADO,103.64,275795353,275803270
Indico,Ajavi,SIN_CRUCE_NOMBRADO,84.69,275803281,275803282
Indico,Chicaña,Sozoranga,144.72,275803283,275803284
Indico,SIN_CRUCE_NOMBRADO,Chicaña,104.42,275803282,275803283
Jima,Huigra,Sigchos,75.1,275795377,275795379
Jima,Sigchos,SIN_CRUCE_NOMBRADO,95.89,275795379,275795381
Los Encuentros,Ajavi,S15B,162.57,275803256,275949703
Los Encuentros,S14C,S14,158.94,275803266,275938604
Los Encuentros,S14C,S15B,84.81,275803266,275949703
Mataje,Achupallas,SIN_CRUCE_NOMBRADO,88.55,275795387,3110266452
Mataje,Achupallas,Toacazo,75.77,275795387,3110266451
Mulalillo,Bocana,Chumunde,222.16,275795345,275795347
Mulalillo,Chumunde,SIN_CRUCE_NOMBRADO,131.61,275795347,286815870
Mulalillo,Pilaló,Bocana,65.97,275795327,275795345
Oe5T,Ajavi,SIN_CRUCE_NOMBRADO,158.23,275806559,275806560
Oe5U,Ajavi,Carapungo,203.18,275803253,275803263
Oe5U,Carapungo,S14,200.01,275803263,275938600
